C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\audio deep.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\classification.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\math.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\mel bands.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\python stack.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\robert.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\torch audio.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\random valid\word detector.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\10.11.22.150[Oct_04_2023_18_00_48]_G-3.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\internet_valid12.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\internet_valid13.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\internet_valid14.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\internet_valid15.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\S-2.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\S2_mel.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\S3_mel.png,Gunshot,Gunshot
C:\Users\Personal\Documents\projects\KICS Second Project\convolution_nn\valid\valid1_mel.png,Gunshot,Gunshot
